時刻,CABLE Output (VB-Audio Virtual Cable),ヘッドセット (Jabra Elite 85t Hands-Free AG Audio)
2023/02/12 04:34:51.302,-27.37773791401353,-56.19015730129628
2023/02/12 04:34:51.431,-34.91433768271515,-59.444205336391406
2023/02/12 04:34:51.563,-41.976735145321264,-75.62236323998745
2023/02/12 04:34:51.695,-37.95676986629895,-68.32434870182959
2023/02/12 04:34:51.827,-41.31482230328082,-76.57888278081649
2023/02/12 04:34:51.953,-37.87434756537816,-71.23914937089604
2023/02/12 04:34:52.082,-46.78772578151892,-69.02403678663558
2023/02/12 04:34:52.207,-50.3908329732936,-78.081317691673
2023/02/12 04:34:52.337,-47.80871672311157,-79.93909750117845
2023/02/12 04:34:52.474,-62.051648197519725,-58.768597311545115
2023/02/12 04:34:52.600,-67.8938019584846,-54.274113712629
2023/02/12 04:34:52.735,-35.987785856981375,-38.64652466390806
2023/02/12 04:34:52.869,-34.695344899367115,-48.06939907658677
2023/02/12 04:34:53.005,-29.78444491206236,-43.44332212686632
2023/02/12 04:34:53.136,-21.926144367188623,-62.84627657768874
2023/02/12 04:34:53.266,-26.00156895104889,-64.27248349363093
2023/02/12 04:34:53.393,-25.97135741248946,-55.23854514454257
2023/02/12 04:34:53.531,-44.74746176498104,-73.72829266347489
2023/02/12 04:34:53.663,-39.157230996214,-76.06935459399935
2023/02/12 04:34:53.796,-32.33835101971697,-78.31446840620418
2023/02/12 04:34:53.929,-50.023633340266606,-62.05634814885358
2023/02/12 04:34:54.063,-67.92386172872202,-61.78055357428417
2023/02/12 04:34:54.190,-48.41522814742939,-45.048074207980534
2023/02/12 04:34:54.319,-35.92948143710846,-47.3705983745276
2023/02/12 04:34:54.448,-24.222610751588178,-45.096813460694634
2023/02/12 04:34:54.583,-30.31207420413068,-44.02226230901291
2023/02/12 04:34:54.715,-24.54141571897648,-47.82209287331404
2023/02/12 04:34:54.855,-25.82599358613617,-74.97931792248465
2023/02/12 04:34:54.994,-33.299266866966626,-58.9172484225175
2023/02/12 04:34:55.150,-56.32850337966482,-62.061945313320834
2023/02/12 04:34:55.286,-31.683512600901057,-62.020553784219686
