時刻,CABLE Output (VB-Audio Virtual Cable),ヘッドセット (Jabra Elite 85t Hands-Free AG Audio)
2023/02/12 04:33:26.359,-67.94343115324365,-77.42084178492527
2023/02/12 04:33:26.484,-67.94208208852848,-55.37746208305697
2023/02/12 04:33:26.610,-36.164601806615316,-51.87104365201336
2023/02/12 04:33:26.736,-30.182432721390242,-50.627854186901956
2023/02/12 04:33:26.864,-26.266905464818265,-40.59358099689457
2023/02/12 04:33:26.989,-32.88893804061774,-46.44460539749582
2023/02/12 04:33:27.122,-34.016420003213035,-36.67766377825133
2023/02/12 04:33:27.264,-27.42941880472415,-43.79745124350907
2023/02/12 04:33:27.397,-37.3279460360368,-50.51224782345827
2023/02/12 04:33:27.535,-35.85791850685013,-51.44688512393429
2023/02/12 04:33:27.665,-56.607373634508484,-46.7451921080546
2023/02/12 04:33:27.798,-35.24636368521036,-51.553049602846016
2023/02/12 04:33:27.938,-31.12519087949658,-66.09032512822725
2023/02/12 04:33:28.063,-44.32566573412653,-76.8650038839171
2023/02/12 04:33:28.189,-40.04833370973618,-76.8650038839171
2023/02/12 04:33:28.315,-67.85881057620502,-78.85249399186253
2023/02/12 04:33:28.452,-67.9130562761898,-50.60555961015499
2023/02/12 04:33:28.577,-66.65526582879882,-63.39275489641331
2023/02/12 04:33:28.703,-40.838963828017405,-63.39275489641331
2023/02/12 04:33:28.829,-30.067683570347782,-55.19591519270337
2023/02/12 04:33:28.967,-32.76983803086024,-62.73887179550953
2023/02/12 04:33:29.093,-32.76983803086024,-73.95424144369963
2023/02/12 04:33:29.219,-43.57653179520141,-59.206907895628014
2023/02/12 04:33:29.349,-62.82601765176902,-70.0618240556255
2023/02/12 04:33:29.484,-38.5421569189114,-64.88545738768188
2023/02/12 04:33:29.611,-47.09423080567277,-67.8982006613402
2023/02/12 04:33:29.749,-38.233364776438364,-67.8982006613402
2023/02/12 04:33:29.884,-59.93145950704327,-66.9307681718689
2023/02/12 04:33:30.019,-67.69988014263721,-81.79933731794648
2023/02/12 04:33:30.149,-67.2374557341834,-60.78650966778453
2023/02/12 04:33:30.281,-44.1414193141945,-58.45857825810946
2023/02/12 04:33:30.414,-68.0809272438941,-73.39209761978763
2023/02/12 04:33:30.549,-67.97715179089221,-74.40803220138989
2023/02/12 04:33:30.712,-63.53535531139623,-59.03070485284246
2023/02/12 04:33:30.847,-31.795962037274368,-53.764887398882806
2023/02/12 04:33:30.984,-46.750551342619204,-62.47818232276835
